Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2018-01-17,4106.78173828125,3111.03955078125,11188.599609375,4430.0,3630.0,11188.599609375,4540.0,3630.0,11678.0,4430.0,3580.0,9402.2900390625,4540.0,3620.0,11431.099609375,183003000.0,81465500.0,18830600192
2018-01-18,4185.57958984375,3102.46923828125,11474.900390625,4515.0,3620.0,11474.900390625,4520.0,3650.0,12107.2998046875,4450.0,3590.0,10942.5,4450.0,3630.0,11198.7998046875,84980500.0,79140800.0,15020399616
2018-01-19,4162.40380859375,3102.46923828125,11607.400390625,4490.0,3620.0,11607.400390625,4530.0,3630.0,11992.7998046875,4480.0,3580.0,11172.099609375,4525.0,3620.0,11429.7998046875,50450500.0,79576200.0,10740400128
2018-01-20,,,12899.2001953125,,,12899.2001953125,,,13103.0,,,11656.2001953125,,,11656.2001953125,,,11801700352
2018-01-21,,,11600.099609375,,,11600.099609375,,,12895.900390625,,,11288.2001953125,,,12889.2001953125,,,9935179776
2018-01-22,4167.0390625,3128.18017578125,10931.400390625,4495.0,3650.0,10931.400390625,4515.0,3670.0,11966.400390625,4485.0,3610.0,10240.2001953125,4510.0,3620.0,11633.099609375,81367500.0,116838000.0,10537400320
2018-01-23,4199.48583984375,3359.579833984375,10868.400390625,4530.0,3920.0,10868.400390625,4540.0,3920.0,11377.599609375,4505.0,3670.0,10129.7001953125,4530.0,3680.0,10944.5,68752000.0,169304700.0,9660609536
2018-01-24,4185.57958984375,3282.446533203125,11359.400390625,4515.0,3830.0,11359.400390625,4525.0,3900.0,11501.400390625,4500.0,3820.0,10639.7998046875,4525.0,3900.0,10903.400390625,94254500.0,150067600.0,9940989952
2018-01-25,4185.57958984375,3231.024658203125,11259.400390625,4515.0,3770.0,11259.400390625,4530.0,3860.0,11785.7001953125,4490.0,3720.0,11057.400390625,4510.0,3860.0,11421.7001953125,53653500.0,141273900.0,8873169920
2018-01-26,4208.75634765625,3299.58740234375,11171.400390625,4540.0,3850.0,11171.400390625,4570.0,3860.0,11656.7001953125,4505.0,3780.0,10470.2998046875,4525.0,3790.0,11256.0,58121000.0,135628300.0,9746199552
2018-01-27,,,11440.7001953125,,,11440.7001953125,,,11614.900390625,,,10989.2001953125,,,11174.900390625,,,7583269888
2018-01-28,,,11786.2998046875,,,11786.2998046875,,,12040.2998046875,,,11475.2998046875,,,11475.2998046875,,,8350360064
